iter	Passed	Remaining
0	2	214
1	4	244
2	7	229
3	8	210
4	10	203
5	12	197
6	14	190
7	16	184
8	17	181
9	19	177
10	21	175
11	23	172
12	25	169
13	27	167
14	28	163
15	30	162
16	32	159
17	34	157
18	36	155
19	38	152
20	40	150
21	41	147
22	43	144
23	45	143
24	47	141
25	48	139
26	50	136
27	52	134
28	54	132
29	56	131
30	57	128
31	59	126
32	61	124
33	63	122
34	64	120
35	66	118
36	68	117
37	70	115
38	72	113
39	74	111
40	76	109
41	76	106
42	78	104
43	80	102
44	82	100
45	84	98
46	86	97
47	88	95
48	89	93
49	91	91
50	93	89
51	95	87
52	97	86
53	99	84
54	100	82
55	102	80
56	105	79
57	108	78
58	110	76
59	112	75
60	114	73
61	117	71
62	122	72
63	125	70
64	127	68
65	130	67
66	132	65
67	145	68
68	148	66
69	150	64
70	152	62
71	154	60
72	156	57
73	158	55
74	161	53
75	164	51
76	167	50
77	170	47
78	172	45
79	174	43
80	176	41
81	178	39
82	182	37
83	184	35
84	186	32
85	188	30
86	190	28
87	191	26
88	193	23
89	195	21
90	197	19
91	199	17
92	201	15
93	203	12
94	205	10
95	207	8
96	209	6
97	211	4
98	213	2
99	215	0
