iter	Passed	Remaining
0	159	159018
1	161	80410
2	163	54176
3	165	41105
4	167	33429
5	170	28245
6	172	24469
7	174	21678
8	177	19515
9	179	17776
10	182	16403
11	185	15284
12	188	14329
13	191	13479
14	193	12699
15	195	12013
16	197	11444
17	200	10923
18	202	10457
19	205	10054
20	207	9680
21	209	9332
22	212	9026
23	215	8754
24	217	8499
25	220	8251
26	222	8015
27	225	7814
28	228	7641
29	230	7450
30	232	7269
31	234	7100
32	236	6918
33	237	6737
34	238	6586
35	241	6456
36	244	6350
37	246	6234
38	248	6120
39	250	6008
40	252	5897
41	254	5793
42	255	5696
43	258	5626
44	260	5535
45	262	5446
46	264	5356
47	265	5272
48	267	5194
49	269	5117
50	271	5046
51	274	4999
52	276	4945
53	278	4887
54	281	4834
55	283	4775
56	285	4718
57	287	4666
58	289	4623
59	291	4574
60	293	4522
61	295	4472
62	297	4418
63	298	4366
64	300	4317
65	302	4274
66	303	4229
67	305	4180
68	306	4132
69	307	4085
70	308	4039
71	309	3994
72	310	3949
73	312	3904
74	313	3860
75	314	3817
76	315	3776
77	316	3741
78	318	3707
79	319	3671
80	320	3633
81	321	3596
82	321	3555
83	322	3519
84	323	3484
85	324	3450
86	325	3416
87	326	3383
88	327	3351
89	328	3320
90	329	3291
91	330	3263
92	331	3237
93	333	3212
94	334	3185
95	335	3158
96	336	3132
97	337	3106
98	338	3081
99	339	3058
100	340	3035
101	342	3011
102	343	2988
103	344	2966
104	345	2946
105	347	2926
106	348	2908
107	349	2886
108	350	2866
109	351	2845
110	352	2824
111	353	2803
112	354	2783
113	355	2763
114	356	2743
115	357	2724
116	358	2703
117	359	2684
118	360	2667
119	361	2650
120	362	2635
121	363	2617
122	364	2599
123	365	2582
124	366	2565
125	367	2547
126	367	2528
127	368	2511
128	369	2495
129	370	2478
130	371	2461
131	371	2445
132	372	2429
133	373	2414
134	374	2400
135	375	2386
136	376	2373
137	378	2362
138	379	2349
139	380	2335
140	380	2320
141	381	2304
142	382	2290
143	382	2276
144	383	2262
145	384	2248
146	385	2235
147	385	2221
148	386	2207
149	387	2194
150	387	2180
151	389	2171
152	389	2158
153	390	2145
154	391	2132
155	391	2120
156	392	2108
157	393	2096
158	394	2084
159	394	2071
160	395	2058
161	395	2046
162	396	2034
163	396	2023
164	397	2011
165	398	1999
166	398	1988
167	399	1977
168	399	1966
169	400	1955
170	401	1945
171	401	1934
172	402	1923
173	402	1913
174	403	1902
175	404	1893
176	404	1882
177	405	1872
178	406	1862
179	406	1853
180	407	1844
181	408	1836
182	409	1827
183	409	1818
184	410	1809
185	411	1799
186	411	1790
187	412	1781
188	413	1772
189	413	1763
190	414	1754
191	414	1746
192	415	1737
193	416	1729
194	416	1720
195	417	1712
196	418	1704
197	418	1696
198	419	1688
199	420	1680
200	420	1673
201	421	1665
202	422	1657
203	423	1651
204	424	1644
205	424	1637
206	425	1630
207	426	1622
208	426	1615
209	427	1608
210	428	1600
211	428	1593
212	429	1586
213	430	1579
214	430	1573
215	431	1566
216	432	1560
217	433	1553
218	433	1547
219	434	1540
220	435	1534
221	436	1528
222	436	1522
223	437	1516
224	438	1511
225	439	1506
226	440	1501
227	441	1495
228	442	1489
229	443	1483
230	443	1477
231	444	1472
232	445	1466
233	446	1460
234	447	1455
235	448	1450
236	448	1445
237	450	1441
238	450	1435
239	451	1430
240	452	1425
241	453	1420
242	454	1416
243	455	1411
244	456	1407
245	457	1402
246	458	1397
247	459	1392
248	460	1388
249	461	1383
250	462	1378
251	462	1373
252	463	1369
253	464	1364
254	465	1359
255	466	1354
256	466	1349
257	467	1344
258	468	1339
259	469	1335
260	469	1330
261	470	1325
262	471	1321
263	472	1316
264	472	1311
265	473	1306
266	474	1301
267	474	1296
268	475	1291
269	476	1287
270	476	1282
271	477	1278
272	478	1273
273	479	1269
274	479	1264
275	480	1260
276	481	1255
277	481	1251
278	482	1246
279	483	1242
280	484	1238
281	484	1234
282	485	1230
283	486	1225
284	486	1221
285	487	1217
286	488	1212
287	488	1208
288	489	1204
289	490	1199
290	490	1196
291	491	1192
292	492	1188
293	493	1184
294	494	1181
295	494	1177
296	495	1172
297	496	1168
298	496	1164
299	497	1160
300	497	1156
301	498	1152
302	499	1149
303	500	1145
304	501	1141
305	501	1137
306	502	1133
307	502	1129
308	503	1126
309	504	1122
310	504	1118
311	505	1114
312	506	1110
313	506	1107
314	507	1103
315	508	1100
316	508	1096
317	509	1092
318	510	1089
319	510	1085
320	511	1081
321	511	1078
322	512	1074
323	513	1070
324	514	1067
325	514	1064
326	515	1061
327	516	1058
328	517	1054
329	517	1051
330	518	1047
331	519	1044
332	519	1041
333	520	1037
334	521	1034
335	521	1030
336	522	1027
337	522	1024
338	523	1020
339	524	1017
340	524	1014
341	525	1011
342	526	1007
343	526	1004
344	527	1001
345	528	998
346	529	995
347	530	993
348	530	990
349	531	987
350	532	984
351	532	980
352	533	978
353	534	975
354	535	972
355	535	969
356	536	966
357	537	963
358	537	960
359	538	957
360	539	954
361	539	951
362	540	948
363	541	946
364	542	943
365	542	940
366	543	937
367	544	935
368	545	932
369	546	930
370	547	927
371	548	925
372	548	922
373	549	919
374	550	916
375	550	913
376	551	911
377	552	908
378	552	905
379	553	902
380	553	899
381	554	896
382	555	894
383	555	891
384	556	888
385	556	885
386	557	883
387	558	880
388	558	877
389	559	875
390	560	872
391	561	870
392	562	868
393	562	865
394	563	863
395	564	860
396	565	858
397	565	855
398	566	853
399	566	850
400	567	847
401	568	845
402	568	842
403	569	840
404	570	837
405	570	835
406	571	832
407	572	830
408	572	827
409	573	825
410	574	822
411	574	820
412	575	818
413	576	816
414	577	814
415	578	811
416	579	809
417	579	807
418	580	804
419	581	802
420	581	800
421	582	797
422	583	795
423	583	792
424	584	790
425	585	788
426	585	785
427	586	783
428	586	781
429	587	778
430	588	776
431	588	774
432	589	771
433	589	769
434	590	767
435	591	765
436	592	763
437	593	761
438	593	759
439	594	756
440	595	754
441	595	752
442	596	749
443	597	747
444	597	745
445	598	743
446	599	741
447	599	738
448	600	736
449	601	734
450	601	732
451	602	730
452	602	728
453	603	725
454	604	723
455	604	721
456	605	719
457	606	717
458	607	715
459	607	713
460	608	711
461	609	709
462	610	707
463	610	705
464	611	703
465	612	701
466	612	699
467	613	697
468	613	695
469	614	693
470	615	690
471	615	688
472	616	686
473	617	684
474	617	682
475	618	680
476	618	678
477	619	676
478	620	674
479	621	673
480	622	671
481	623	669
482	623	667
483	624	665
484	625	663
485	625	661
486	626	659
487	626	657
488	627	655
489	628	653
490	628	651
491	629	649
492	629	647
493	630	645
494	631	643
495	631	641
496	632	640
497	632	638
498	633	636
499	634	634
500	634	632
501	635	630
502	636	628
503	637	627
504	638	625
505	638	623
506	639	621
507	640	619
508	640	617
509	641	616
510	641	614
511	642	612
512	643	610
513	643	608
514	644	606
515	645	605
516	645	603
517	646	601
518	646	599
519	647	597
520	648	595
521	648	593
522	649	592
523	650	590
524	650	588
525	651	587
526	652	585
527	653	584
528	654	582
529	655	580
530	655	579
531	656	577
532	657	575
533	657	573
534	658	572
535	658	570
536	659	568
537	660	566
538	660	565
539	661	563
540	661	561
541	662	559
542	663	558
543	663	556
544	664	554
545	665	553
546	665	551
547	666	549
548	667	548
549	668	546
550	668	545
551	669	543
552	670	541
553	670	539
554	671	538
555	671	536
556	672	534
557	673	533
558	673	531
559	674	529
560	675	528
561	675	526
562	676	524
563	676	523
564	677	521
565	678	520
566	679	518
567	679	517
568	680	515
569	681	514
570	682	512
571	683	511
572	684	510
573	685	508
574	685	506
575	686	505
576	686	503
577	687	502
578	688	500
579	688	498
580	689	497
581	690	495
582	690	494
583	691	492
584	692	491
585	693	489
586	693	488
587	694	486
588	695	485
589	696	484
590	697	482
591	698	481
592	699	479
593	699	478
594	700	476
595	701	475
596	701	473
597	702	472
598	703	470
599	703	469
600	704	467
601	704	466
602	705	464
603	706	462
604	706	461
605	707	459
606	708	458
607	708	457
608	709	455
609	710	454
610	710	452
611	711	451
612	712	449
613	712	448
614	713	446
615	714	445
616	715	443
617	715	442
618	716	440
619	716	439
620	717	437
621	718	436
622	718	434
623	719	433
624	719	431
625	720	430
626	721	429
627	721	427
628	722	426
629	723	424
630	724	423
631	724	422
632	725	420
633	726	419
634	726	417
635	727	416
636	728	415
637	729	413
638	730	412
639	730	411
640	731	409
641	732	408
642	732	406
643	733	405
644	734	404
645	734	402
646	735	401
647	735	399
648	736	398
649	737	396
650	737	395
651	738	394
652	739	392
653	739	391
654	740	389
655	740	388
656	741	387
657	742	385
658	742	384
659	743	383
660	744	381
661	745	380
